CustomerKey,SalesTerritoryCountry,SalesTerritoryRegion
21768,Canada,Canada
28389,France,France
25863,United States,Northwest
14501,United States,Southwest
11003,Australia,Australia
27645,United States,Southwest
16624,Australia,Australia
11005,Australia,Australia
11011,Australia,Australia
27621,United States,Southwest
27616,United States,Southwest
20042,United Kingdom,United Kingdom
16351,Australia,Australia
16517,Australia,Australia
27606,United States,Northwest
13513,Germany,Germany
27601,United States,Southwest
13591,United Kingdom,United Kingdom
16483,Australia,Australia
16529,Australia,Australia
25249,Australia,Australia
27668,United States,Northwest
27612,United States,Southwest
13264,Germany,Germany
13590,United Kingdom,United Kingdom
13581,United Kingdom,United Kingdom
14520,United States,Northwest
16520,Australia,Australia
13258,Germany,Germany
14560,United States,Southwest
16607,Australia,Australia
27666,United States,Southwest
11238,United Kingdom,United Kingdom
25861,United States,Southwest
16629,Australia,Australia
11025,Australia,Australia
27577,United States,Northwest
27604,United States,Northwest
16522,Australia,Australia
11002,Australia,Australia
13261,Germany,Germany
11606,France,France
13563,United Kingdom,United Kingdom
16527,Australia,Australia
27671,United States,Northwest
13576,United Kingdom,United Kingdom
11007,Australia,Australia
16631,Australia,Australia
16514,Australia,Australia
16616,Australia,Australia
27623,United States,Southwest
27625,United States,Northwest
27636,United States,Northwest
11591,France,France
11592,France,France
13265,Germany,Germany
16482,Australia,Australia
27617,United States,Northwest
27670,United States,Southwest
19941,United Kingdom,United Kingdom
11017,Australia,Australia
27646,United States,Southwest
13257,Germany,Germany
16352,Australia,Australia
16493,Australia,Australia
27578,United States,Southwest
16525,Australia,Australia
16612,Australia,Australia
11010,Australia,Australia
16518,Australia,Australia
11001,Australia,Australia
27649,United States,Northwest
21659,Canada,Canada
27614,United States,Northwest
14559,United States,Southwest
16524,Australia,Australia
16526,Australia,Australia
16348,Australia,Australia
11027,Australia,Australia
13260,Germany,Germany
16515,Australia,Australia
11018,Australia,Australia
25252,Australia,Australia
11599,France,France
16495,Australia,Australia
16516,Australia,Australia
16620,Australia,Australia
27667,United States,Southwest
11601,France,France
11607,France,France
29385,Germany,Germany
11239,United Kingdom,United Kingdom
25865,United States,Northwest
25857,United States,Northwest
16484,Australia,Australia
16623,Australia,Australia
11000,Australia,Australia
11029,Australia,Australia
27615,United States,Southwest
17956,France,France
16345,Australia,Australia
16521,Australia,Australia
16636,Australia,Australia
21710,Canada,Canada
13583,United Kingdom,United Kingdom
11593,France,France
21741,Canada,Canada
13585,United Kingdom,United Kingdom
14510,United States,Northwest
16523,Australia,Australia
11611,France,France
13259,Germany,Germany
16350,Australia,Australia
11004,Australia,Australia
11026,Australia,Australia
27662,United States,Southwest
28390,France,France
25866,United States,Northwest
16494,Australia,Australia
16496,Australia,Australia
16519,Australia,Australia
16528,Australia,Australia
11006,Australia,Australia
27651,United States,Southwest
